product_category_name,total_orders,failed_orders,Return_Rate
pc_gamer,9,1,11.11
portateis_cozinha_e_preparadores_de_alimentos,15,1,6.67
dvds_blu_ray,64,2,3.13
construcao_ferramentas_seguranca,194,5,2.58
fraldas_higiene,39,1,2.56
construcao_ferramentas_jardim,238,4,1.68
instrumentos_musicais,680,11,1.62
livros_interesse_geral,553,7,1.27
eletrodomesticos_2,238,3,1.26
eletroportateis,679,8,1.18
telefonia_fixa,264,3,1.14
consoles_games,1137,10,0.88
brinquedos,4117,34,0.83
fashion_calcados,262,2,0.76
fashion_roupa_masculina,132,1,0.76
automotivo,4235,31,0.73
bebes,3064,22,0.72
alimentos_bebidas,278,2,0.72
moveis_cozinha_area_de_servico_jantar_e_jardim,281,2,0.71
utilidades_domesticas,6964,49,0.70
climatizacao,297,2,0.67
construcao_ferramentas_iluminacao,304,2,0.66
artigos_de_natal,153,1,0.65
informatica_acessorios,7827,46,0.59
esporte_lazer,8641,51,0.59
perfumaria,3419,17,0.50
papelaria,2517,12,0.48
artes,209,1,0.48
cool_stuff,3796,17,0.45
ferramentas_jardim,4347,19,0.44
moveis_decoracao,8334,36,0.43
eletronicos,2767,12,0.43
telefonia,4545,18,0.40
moveis_sala,503,2,0.40
malas_acessorios,1092,4,0.37
beleza_saude,9670,36,0.37
relogios_presentes,5991,21,0.35
market_place,311,1,0.32
fashion_bolsas_e_acessorios,2031,6,0.30
audio,364,1,0.27
eletrodomesticos,771,2,0.26
pet_shop,1947,5,0.26
bebidas,379,1,0.26
construcao_ferramentas_construcao,929,2,0.22
alimentos,510,1,0.20
casa_construcao,604,1,0.17
cama_mesa_banho,11115,18,0.16
moveis_escritorio,1691,1,0.06
construcao_ferramentas_ferramentas,103,0,0.00
portateis_casa_forno_e_cafe,76,0,0.00
musica,38,0,0.00
sinalizacao_e_seguranca,199,0,0.00
artes_e_artesanato,24,0,0.00
tablets_impressao_imagem,83,0,0.00
agro_industria_e_comercio,212,0,0.00
fashion_roupa_feminina,48,0,0.00
fashion_esporte,30,0,0.00
moveis_quarto,109,0,0.00
fashion_underwear_e_moda_praia,131,0,0.00
flores,33,0,0.00
livros_importados,60,0,0.00
cine_foto,72,0,0.00
industria_comercio_e_negocios,268,0,0.00
artigos_de_festas,43,0,0.00
livros_tecnicos,267,0,0.00
casa_conforto_2,30,0,0.00
moveis_colchao_e_estofado,38,0,0.00
casa_conforto,434,0,0.00
cds_dvds_musicais,14,0,0.00
la_cuisine,14,0,0.00
fashion_roupa_infanto_juvenil,8,0,0.00
pcs,203,0,0.00
seguros_e_servicos,2,0,0.00
